80 80
0 0 0
0.0126582 0 0
0.0253165 0 0
0.0379747 0 0
0.0506329 0 0
0.0632911 0 0
0.0759494 0 0
0.0886076 0 0
0.101266 0 0
0.113924 0 0
0.126582 0 0
0.139241 0 0
0.151899 0 0
0.164557 0 0
0.177215 0 0
0.189873 0 0
0.202532 0 0
0.21519 0 0
0.227848 0 0
0.240506 0 0
0.253165 0 0
0.265823 0 0
0.278481 0 0
0.291139 0 0
0.303797 0 0
0.316456 0 0
0.329114 0 0
0.341772 0 0
0.35443 0 0
0.367089 0 0
0.379747 0 0
0.392405 0 0
0.405063 0 0
0.417722 0 0
0.43038 0 0
0.443038 0 0
0.455696 0 0
0.468354 0 0
0.481013 0 0
0.493671 0 0
0.506329 0 0
0.518987 0 0
0.531646 0 0
0.544304 0 0
0.556962 0 0
0.56962 0 0
0.582278 0 0
0.594937 0 0
0.607595 0 0
0.620253 0 0
0.632911 0 0
0.64557 0 0
0.658228 0 0
0.670886 0 0
0.683544 0 0
0.696203 0 0
0.708861 0 0
0.721519 0 0
0.734177 0 0
0.746835 0 0
0.759494 0 0
0.772152 0 0
0.78481 0 0
0.797468 0 0
0.810127 0 0
0.822785 0 0
0.835443 0 0
0.848101 0 0
0.860759 0 0
0.873418 0 0
0.886076 0 0
0.898734 0 0
0.911392 0 0
0.924051 0 0
0.936709 0 0
0.949367 0 0
0.962025 0 0
0.974684 0 0
0.987342 0 0
1 0 0
0 0.0126582 0
0.0126605 0.0126605 0
0.0253211 0.0126628 0
0.0379817 0.0126651 0
0.0506423 0.0126674 0
0.063303 0.0126695 0
0.0759638 0.0126716 0
0.0886246 0.0126736 0
0.101286 0.0126756 0
0.113947 0.0126774 0
0.126608 0.012679 0
0.139269 0.0126806 0
0.151931 0.012682 0
0.164593 0.0126833 0
0.177255 0.0126844 0
0.189917 0.0126853 0
0.20258 0.0126861 0
0.215242 0.0126867 0
0.227906 0.0126871 0
0.240569 0.0126873 0
0.253233 0.0126873 0
0.265897 0.0126872 0
0.278562 0.0126868 0
0.291228 0.0126863 0
0.303893 0.0126856 0
0.31656 0.0126847 0
0.329227 0.0126836 0
0.341895 0.0126824 0
0.354564 0.012681 0
0.367233 0.0126795 0
0.379904 0.0126778 0
0.392575 0.012676 0
0.405248 0.012674 0
0.417921 0.0126719 0
0.430596 0.0126698 0
0.443272 0.0126675 0
0.45595 0.0126651 0
0.46863 0.0126627 0
0.481311 0.0126601 0
0.493994 0.0126576 0
0.506679 0.0126549 0
0.519366 0.0126523 0
0.532056 0.0126495 0
0.544748 0.0126468 0
0.557443 0.012644 0
0.570141 0.0126412 0
0.582842 0.0126383 0
0.595547 0.0126354 0
0.608256 0.0126324 0
0.620969 0.0126293 0
0.633686 0.0126262 0
0.646408 0.0126229 0
0.659136 0.0126195 0
0.671869 0.0126158 0
0.684609 0.0126119 0
0.697355 0.0126077 0
0.710108 0.0126031 0
0.722869 0.0125979 0
0.735638 0.0125922 0
0.748417 0.0125857 0
0.761205 0.0125783 0
0.774004 0.0125699 0
0.786815 0.0125602 0
0.799637 0.0125489 0
0.812473 0.0125358 0
0.825323 0.0125205 0
0.838188 0.0125027 0
0.85107 0.0124818 0
0.863969 0.0124574 0
0.876886 0.0124289 0
0.889824 0.0123956 0
0.902783 0.0123567 0
0.915764 0.0123113 0
0.928768 0.0122584 0
0.941797 0.012197 0
0.954853 0.0121256 0
0.967935 0.0120431 0
0.981045 0.0119478 0
0.994182 0.0118382 0
1.00735 0.0117129 0
0 0.0253165 0
0.0126628 0.0253211 0
0.0253257 0.0253257 0
0.0379887 0.0253303 0
0.0506517 0.0253348 0
0.0633148 0.0253391 0
0.0759781 0.0253433 0
0.0886416 0.0253474 0
0.101305 0.0253512 0
0.113969 0.0253548 0
0.126633 0.0253582 0
0.139298 0.0253613 0
0.151963 0.0253642 0
0.164628 0.0253667 0
0.177294 0.0253689 0
0.18996 0.0253708 0
0.202627 0.0253723 0
0.215295 0.0253735 0
0.227963 0.0253743 0
0.240631 0.0253747 0
0.253301 0.0253748 0
0.265971 0.0253745 0
0.278643 0.0253738 0
0.291315 0.0253728 0
0.303989 0.0253714 0
0.316664 0.0253696 0
0.32934 0.0253675 0
0.342017 0.025365 0
0.354696 0.0253622 0
0.367377 0.0253591 0
0.380059 0.0253557 0
0.392744 0.0253521 0
0.405431 0.0253482 0
0.41812 0.025344 0
0.430811 0.0253396 0
0.443505 0.0253351 0
0.456203 0.0253303 0
0.468903 0.0253254 0
0.481607 0.0253204 0
0.494314 0.0253152 0
0.507026 0.0253099 0
0.519742 0.0253046 0
0.532463 0.0252991 0
0.545189 0.0252936 0
0.55792 0.025288 0
0.570658 0.0252823 0
0.583402 0.0252766 0
0.596153 0.0252708 0
0.608912 0.0252648 0
0.62168 0.0252588 0
0.634456 0.0252525 0
0.647242 0.025246 0
0.660038 0.0252391 0
0.672846 0.0252319 0
0.685666 0.0252241 0
0.698499 0.0252158 0
0.711347 0.0252066 0
0.724211 0.0251965 0
0.737091 0.0251851 0
0.749989 0.0251723 0
0.762907 0.0251578 0
0.775845 0.0251411 0
0.788807 0.0251219 0
0.801793 0.0250996 0
0.814805 0.0250737 0
0.827846 0.0250435 0
0.840917 0.0250083 0
0.854021 0.0249671 0
0.867159 0.024919 0
0.880335 0.0248627 0
0.893551 0.0247968 0
0.906809 0.0247199 0
0.920111 0.0246301 0
0.933461 0.0245255 0
0.94686 0.0244038 0
0.960311 0.0242625 0
0.973817 0.0240989 0
0.987377 0.0239099 0
1.001 0.0236923 0
1.01467 0.023442 0
0 0.0379747 0
0.0126651 0.0379817 0
0.0253303 0.0379887 0
0.0379955 0.0379955 0
