80 80
0.0463345 0.161921 0
0.0569487 0.161788 0
0.0675629 0.161655 0
0.0781771 0.161523 0
0.0887912 0.16139 0
0.0994054 0.161257 0
0.11002 0.161125 0
0.120634 0.160992 0
0.131248 0.160859 0
0.141862 0.160727 0
0.152476 0.160594 0
0.163091 0.160461 0
0.173705 0.160329 0
0.184319 0.160196 0
0.194933 0.160063 0
0.205547 0.159931 0
0.216162 0.159798 0
0.226776 0.159665 0
0.23739 0.159533 0
0.248004 0.1594 0
0.258618 0.159267 0
0.269233 0.159135 0
0.279847 0.159002 0
0.290461 0.158869 0
0.301075 0.158737 0
0.311689 0.158604 0
0.322304 0.158471 0
0.332918 0.158339 0
0.343532 0.158206 0
0.354146 0.158073 0
0.36476 0.15794 0
0.375375 0.157808 0
0.385989 0.157675 0
0.396603 0.157542 0
0.407217 0.15741 0
0.417831 0.157277 0
0.428446 0.157144 0
0.43906 0.157012 0
0.449674 0.156879 0
0.460288 0.156746 0
0.470902 0.156614 0
0.481517 0.156481 0
0.492131 0.156348 0
0.502745 0.156216 0
0.513359 0.156083 0
0.523973 0.15595 0
0.534588 0.155818 0
0.545202 0.155685 0
0.555816 0.155552 0
0.56643 0.15542 0
0.577044 0.155287 0
0.587659 0.155154 0
0.598273 0.155022 0
0.608887 0.154889 0
0.619501 0.154756 0
0.630115 0.154624 0
0.64073 0.154491 0
0.651344 0.154358 0
0.661958 0.154226 0
0.672572 0.154093 0
0.683186 0.15396 0
0.693801 0.153827 0
0.704415 0.153695 0
0.715029 0.153562 0
0.725643 0.153429 0
0.736257 0.153297 0
0.746872 0.153164 0
0.757486 0.153031 0
0.7681 0.152899 0
0.778714 0.152766 0
0.789328 0.152633 0
0.799942 0.152501 0
0.810557 0.152368 0
0.821171 0.152235 0
0.831785 0.152103 0
0.842399 0.15197 0
0.853013 0.151837 0
0.863628 0.151705 0
0.874242 0.151572 0
0.884856 0.151439 0
0.0471048 0.172926 0
0.0576888 0.172786 0
0.0682727 0.172646 0
0.0788567 0.172506 0
0.0894407 0.172366 0
0.100025 0.172226 0
0.110609 0.172085 0
0.121194 0.171945 0
0.131778 0.171804 0
0.142363 0.171663 0
0.152948 0.171522 0
0.163533 0.17138 0
0.174119 0.171239 0
0.184705 0.171097 0
0.195291 0.170955 0
0.205877 0.170813 0
0.216464 0.17067 0
0.22705 0.170527 0
0.237638 0.170383 0
0.248225 0.17024 0
0.258813 0.170096 0
0.269401 0.169951 0
0.279989 0.169806 0
0.290578 0.169661 0
0.301167 0.169516 0
0.311757 0.16937 0
0.322346 0.169223 0
0.332936 0.169076 0
0.343526 0.168929 0
0.354117 0.168781 0
0.364708 0.168633 0
0.375299 0.168485 0
0.38589 0.168336 0
0.396482 0.168186 0
0.407074 0.168037 0
0.417666 0.167886 0
0.428259 0.167736 0
0.438851 0.167585 0
0.449444 0.167433 0
0.460038 0.167282 0
0.470631 0.167129 0
0.481225 0.166977 0
0.491819 0.166824 0
0.502413 0.166671 0
0.513007 0.166517 0
0.523602 0.166363 0
0.534197 0.166209 0
0.544792 0.166054 0
0.555387 0.165899 0
0.565982 0.165744 0
0.576578 0.165588 0
0.587174 0.165433 0
0.597769 0.165276 0
0.608365 0.16512 0
0.618962 0.164964 0
0.629558 0.164807 0
0.640155 0.16465 0
0.650751 0.164493 0
0.661348 0.164335 0
0.671945 0.164178 0
0.682542 0.16402 0
0.693139 0.163862 0
0.703736 0.163704 0
0.714333 0.163545 0
0.724931 0.163387 0
0.735528 0.163229 0
0.746126 0.16307 0
0.756724 0.162911 0
0.767321 0.162753 0
0.777919 0.162594 0
0.788517 0.162435 0
0.799115 0.162276 0
0.809713 0.162117 0
0.820311 0.161957 0
0.830909 0.161798 0
0.841507 0.161639 0
0.852105 0.16148 0
0.862704 0.16132 0
0.873302 0.161161 0
0.8839 0.161002 0
0.0478752 0.183932 0
0.0584288 0.183785 0
0.0689825 0.183637 0
0.0795362 0.183489 0
0.0900901 0.183342 0
0.100644 0.183194 0
0.111199 0.183046 0
0.121753 0.182897 0
0.132308 0.182748 0
0.142864 0.182599 0
0.15342 0.18245 0
0.163976 0.1823 0
0.174533 0.182149 0
0.18509 0.181998 0
0.195648 0.181847 0
0.206206 0.181695 0
0.216765 0.181542 0
0.227325 0.181389 0
0.237885 0.181235 0
0.248446 0.18108 0
0.259007 0.180924 0
0.269569 0.180768 0
0.280132 0.180611 0
0.290695 0.180454 0
0.301259 0.180295 0
0.311823 0.180136 0
0.322388 0.179976 0
0.332954 0.179815 0
0.34352 0.179653 0
0.354087 0.17949 0
0.364655 0.179326 0
0.375223 0.179162 0
0.385792 0.178997 0
0.396361 0.178831 0
0.406931 0.178664 0
0.417501 0.178496 0
0.428072 0.178328 0
0.438643 0.178158 0
0.449215 0.177988 0
0.459787 0.177817 0
0.47036 0.177646 0
0.480933 0.177473 0
0.491507 0.1773 0
0.502081 0.177126 0
0.512655 0.176951 0
0.52323 0.176776 0
0.533806 0.1766 0
0.544382 0.176424 0
0.554958 0.176246 0
0.565534 0.176068 0
0.576111 0.17589 0
0.586688 0.175711 0
0.597266 0.175532 0
0.607844 0.175352 0
0.618422 0.175171 0
0.629001 0.17499 0
0.639579 0.174809 0
0.650158 0.174627 0
0.660738 0.174445 0
0.671317 0.174262 0
0.681897 0.17408 0
0.692477 0.173896 0
0.703057 0.173713 0
0.713638 0.173529 0
0.724219 0.173345 0
0.734799 0.173161 0
0.74538 0.172976 0
0.755962 0.172791 0
0.766543 0.172606 0
0.777124 0.172421 0
0.787706 0.172236 0
0.798288 0.172051 0
0.808869 0.171865 0
0.819451 0.17168 0
0.830033 0.171494 0
0.840615 0.171308 0
0.851197 0.171122 0
0.861779 0.170936 0
0.872361 0.17075 0
0.882944 0.170564 0
0.0486456 0.194938 0
0.0591689 0.194783 0
0.0696922 0.194628 0
0.0802156 0.194473 0
0.0907393 0.194318 0
0.101263 0.194162 0
0.111788 0.194006 0
0.122313 0.19385 0
0.132838 0.193693 0
0.143364 0.193536 0
0.153891 0.193378 0
0.164418 0.193219 0
0.174946 0.19306 0
0.185475 0.1929 0
0.196004 0.192739 0
0.206535 0.192578 0
0.217066 0.192415 0
0.227598 0.192251 0
0.238132 0.192087 0
0.248666 0.191921 0
0.259201 0.191754 0
0.269737 0.191586 0
0.280273 0.191417 0
0.290811 0.191247 0
0.30135 0.191075 0
0.31189 0.190903 0
0.32243 0.190729 0
0.332972 0.190554 0
0.343514 0.190377 0
0.354057 0.190199 0
0.364601 0.190021 0
0.375146 0.18984 0
0.385692 0.189659 0
0.396239 0.189476 0
0.406787 0.189292 0
0.417335 0.189107 0
0.427884 0.18892 0
0.438434 0.188733 0
0.448984 0.188544 0
0.459536 0.188354 0
0.470088 0.188162 0
0.480641 0.18797 0
0.491194 0.187777 0
0.501748 0.187582 0
0.512303 0.187386 0
0.522858 0.18719 0
0.533414 0.186992 0
0.543971 0.186794 0
0.554528 0.186594 0
0.565086 0.186394 0
0.575644 0.186192 0
0.586203 0.18599 0
0.596762 0.185787 0
0.607322 0.185584 0
0.617882 0.185379 0
0.628443 0.185174 0
0.639004 0.184968 0
0.649565 0.184762 0
0.660127 0.184555 0
0.67069 0.184348 0
0.681252 0.18414 0
0.691815 0.183931 0
0.702379 0.183722 0
0.712942 0.183513 0
0.723506 0.183303 0
0.73407 0.183093 0
0.744635 0.182882 0
0.755199 0.182672 0
0.765764 0.18246 0
0.776329 0.182249 0
0.786895 0.182038 0
0.79746 0.181826 0
0.808026 0.181614 0
0.818591 0.181402 0
0.829157 0.181189 0
0.839723 0.180977 0
0.850289 0.180765 0
0.860855 0.180552 0
0.871421 0.18034 0
0.881987 0.180127 0
0.049416 0.205943 0
0.0599088 0.205781 0
0.0704017 0.205619 0
0.0808948 0.205457 0
0.0913882 0.205294 0
0.101882 0.205131 0
0.112376 0.204967 0
0.122871 0.204803 0
0.133367 0.204639 0
0.143864 0.204473 0
0.154361 0.204307 0
0.164859 0.20414 0
0.175358 0.203972 0
0.185859 0.203803 0
0.19636 0.203633 0
0.206863 0.203461 0
0.217366 0.203289 0
0.227871 0.203115 0
0.238377 0.202939 0
0.248885 0.202763 0
0.259393 0.202585 0
0.269903 0.202405 0
0.280414 0.202224 0
0.290926 0.202041 0
0.30144 0.201857 0
0.311955 0.201671 0
0.322471 0.201483 0
0.332988 0.201294 0
0.343507 0.201103 0
0.354026 0.20091 0
0.364547 0.200716 0
0.375069 0.20052 0
0.385592 0.200322 0
0.396116 0.200123 0
0.406642 0.199921 0
0.417168 0.199719 0
0.427696 0.199514 0
0.438224 0.199308 0
0.448754 0.199101 0
0.459284 0.198891 0
0.469815 0.19868 0
0.480348 0.198468 0
0.490881 0.198254 0
0.501415 0.198039 0
0.51195 0.197823 0
0.522486 0.197604 0
0.533023 0.197385 0
0.54356 0.197165 0
0.554098 0.196943 0
0.564637 0.19672 0
0.575177 0.196495 0
0.585717 0.19627 0
0.596258 0.196044 0
0.6068 0.195816 0
0.617342 0.195588 0
0.627885 0.195359 0
0.638428 0.195129 0
0.648972 0.194898 0
0.659517 0.194666 0
0.670062 0.194433 0
0.680607 0.1942 0
0.691153 0.193966 0
0.701699 0.193732 0
0.712246 0.193497 0
0.722793 0.193261 0
0.733341 0.193025 0
0.743889 0.192789 0
0.754437 0.192552 0
0.764985 0.192315 0
0.775534 0.192077 0
0.786083 0.191839 0
0.796632 0.191601 0
0.807182 0.191363 0
0.817731 0.191124 0
0.828281 0.190885 0
0.838831 0.190646 0
0.849381 0.190407 0
0.859931 0.190168 0
0.870481 0.189929 0
0.881031 0.18969 0
0.0501864 0.216949 0
0.0606486 0.21678 0
0.071111 0.21661 0
0.0815736 0.216441 0
0.0920366 0.216271 0
0.1025 0.2161 0
0.112964 0.215929 0
0.123429 0.215757 0
0.133895 0.215585 0
0.144362 0.215411 0
0.15483 0.215237 0
0.165299 0.215061 0
0.17577 0.214885 0
0.186242 0.214707 0
0.196715 0.214527 0
0.207189 0.214346 0
0.217665 0.214164 0
0.228143 0.21398 0
0.238622 0.213794 0
0.249102 0.213606 0
0.259585 0.213417 0
0.270068 0.213225 0
0.280554 0.213032 0
0.29104 0.212837 0
0.301529 0.21264 0
0.312019 0.212441 0
0.32251 0.212239 0
0.333003 0.212036 0
0.343498 0.21183 0
0.353994 0.211623 0
0.364492 0.211413 0
0.374991 0.211201 0
0.385491 0.210987 0
0.395993 0.210771 0
0.406496 0.210552 0
0.417 0.210332 0
0.427506 0.21011 0
0.438013 0.209885 0
0.448522 0.209659 0
0.459031 0.20943 0
0.469542 0.2092 0
0.480054 0.208968 0
0.490567 0.208734 0
0.501081 0.208498 0
0.511596 0.20826 0
0.522113 0.208021 0
0.53263 0.207779 0
0.543148 0.207537 0
0.553667 0.207292 0
0.564187 0.207047 0
0.574708 0.2068 0
0.58523 0.206551 0
0.595753 0.206301 0
0.606277 0.20605 0
0.616801 0.205798 0
0.627326 0.205544 0
0.637852 0.20529 0
0.648378 0.205034 0
0.658905 0.204777 0
0.669433 0.20452 0
0.679961 0.204261 0
0.69049 0.204002 0
0.70102 0.203742 0
0.71155 0.203482 0
0.72208 0.20322 0
0.732611 0.202958 0
0.743143 0.202696 0
0.753674 0.202433 0
0.764206 0.202169 0
0.774739 0.201905 0
0.785271 0.201641 0
0.795804 0.201377 0
0.806338 0.201112 0
0.816871 0.200847 0
0.827405 0.200581 0
0.837939 0.200316 0
0.848473 0.20005 0
0.859007 0.199784 0
0.869541 0.199518 0
0.880075 0.199252 0
0.0509568 0.227954 0
0.0613883 0.227778 0
0.07182 0.227602 0
0.082252 0.227425 0
0.0926845 0.227248 0
0.103118 0.22707 0
0.113552 0.226892 0
0.123987 0.226712 0
0.134423 0.226532 0
0.14486 0.226351 0
0.155299 0.226168 0
0.165739 0.225984 0
0.17618 0.225799 0
0.186623 0.225612 0
0.197068 0.225423 0
0.207514 0.225233 0
0.217963 0.22504 0
0.228413 0.224846 0
0.238865 0.22465 0
0.249319 0.224451 0
0.259774 0.224251 0
0.270232 0.224048 0
0.280691 0.223843 0
0.291153 0.223635 0
0.301616 0.223425 0
0.312081 0.223212 0
0.322548 0.222997 0
0.333017 0.22278 0
0.343488 0.22256 0
